Fecha;Hora share;Dia share;vistas
2013-11-12 00:29:12;0;1;18
2013-11-12 00:34:51;0;1;48
2013-11-12 00:43:26;0;1;3
2013-11-12 01:06:48;1;1;9
2013-11-12 01:12:53;1;1;4
2013-11-12 01:33:47;1;1;36
2013-11-12 02:29:54;2;1;61
2013-11-12 02:34:12;2;1;2
2013-11-12 02:42:29;2;1;9
2013-11-12 12:06:16;12;1;12
2013-11-12 14:16:48;14;1;2
2013-11-12 14:42:42;14;1;5
2013-11-12 15:04:07;15;1;58
2013-11-12 15:05:45;15;1;2
2013-11-12 15:52:59;15;1;25
2013-11-12 16:22:40;16;1;2
2013-11-12 16:46:19;16;1;3
2013-11-12 18:08:34;18;1;29
2013-11-12 18:25:58;18;1;33
2013-11-12 19:10:28;19;1;152
2013-11-12 19:39:46;19;1;2
2013-11-12 19:44:31;19;1;3
2013-11-12 20:11:49;20;1;1
2013-11-12 20:22:19;20;1;1
2013-11-12 20:42:41;20;1;1
2013-11-12 21:07:57;21;1;13
2013-11-12 21:15:01;21;1;1
2013-11-12 21:57:43;21;1;2
2013-11-12 23:11:41;23;1;2
2013-11-12 23:16:00;23;1;2
2013-11-12 23:18:02;23;1;23
2013-11-12 23:22:51;23;1;1
2013-11-12 23:23:39;23;1;1
2013-11-12 23:25:22;23;1;3
2013-11-12 23:25:37;23;1;2
2013-11-13 00:13:08;0;2;1
2013-11-13 00:19:53;0;2;21
2013-11-13 00:30:32;0;2;1
2013-11-13 00:31:12;0;2;1
2013-11-13 01:09:30;1;2;16
2013-11-13 01:27:23;1;2;3
2013-11-13 01:41:00;1;2;127
2013-11-13 03:06:47;3;2;52
2013-11-13 03:07:05;3;2;53
2013-11-13 03:08:45;3;2;5
2013-11-13 03:09:09;3;2;2
2013-11-13 03:09:14;3;2;9
2013-11-13 03:11:16;3;2;1
2013-11-13 04:03:47;4;2;2
2013-11-13 04:08:09;4;2;2
2013-11-13 04:16:34;4;2;1
2013-11-13 04:17:22;4;2;5
2013-11-13 04:17:26;4;2;1
2013-11-13 04:17:29;4;2;5
2013-11-13 04:17:36;4;2;1
2013-11-13 04:17:50;4;2;2
2013-11-13 04:17:56;4;2;1
2013-11-13 04:17:58;4;2;4
2013-11-13 04:18:06;4;2;2
2013-11-13 04:18:09;4;2;3
2013-11-13 04:18:13;4;2;3
2013-11-13 05:42:05;5;2;2
2013-11-13 05:53:46;5;2;17
2013-11-13 05:54:42;5;2;7
2013-11-13 05:56:21;5;2;3
2013-11-13 13:01:37;13;2;12
2013-11-13 13:08:19;13;2;1
2013-11-13 15:43:40;15;2;1
2013-11-13 16:23:43;16;2;48
2013-11-13 18:10:16;18;2;3
2013-11-13 18:26:06;18;2;7
2013-11-13 18:44:46;18;2;17
2013-11-13 19:55:33;19;2;1
2013-11-13 19:56:46;19;2;8
2013-11-13 19:57:09;19;2;3
2013-11-13 20:00:30;20;2;25
2013-11-13 20:17:27;20;2;8
2013-11-13 20:41:04;20;2;5
2013-11-13 20:56:38;20;2;7
2013-11-13 20:57:04;20;2;4
2013-11-13 20:58:30;20;2;4
2013-11-13 21:07:10;21;2;2
2013-11-13 21:09:53;21;2;2
2013-11-13 21:14:35;21;2;187
2013-11-13 21:19:23;21;2;2
2013-11-13 21:33:49;21;2;1
2013-11-13 21:34:18;21;2;3
2013-11-13 21:35:40;21;2;1
2013-11-13 22:11:09;22;2;55
2013-11-13 22:45:41;22;2;1801
2013-11-13 22:48:31;22;2;5
2013-11-13 22:48:37;22;2;1
2013-11-13 22:49:42;22;2;1
2013-11-13 23:12:02;23;2;13
2013-11-13 23:13:50;23;2;1
2013-11-13 23:14:16;23;2;2
2013-11-13 23:32:18;23;2;1
2013-11-13 23:33:23;23;2;24
2013-11-13 23:34:16;23;2;4
2013-11-13 23:35:14;23;2;5
2013-11-13 23:35:15;23;2;5
2013-11-13 23:35:29;23;2;4
2013-11-13 23:59:19;23;2;20
2013-11-14 01:48:13;1;3;1
2013-11-14 02:39:38;2;3;2
2013-11-14 02:54:35;2;3;1
2013-11-14 03:14:50;3;3;1
2013-11-14 03:19:15;3;3;37
2013-11-14 03:29:25;3;3;7
2013-11-14 03:31:48;3;3;2
2013-11-14 03:34:08;3;3;7
2013-11-14 03:34:11;3;3;4
2013-11-14 03:35:18;3;3;2
2013-11-14 03:39:04;3;3;4
2013-11-14 03:41:38;3;3;3
2013-11-14 03:42:54;3;3;249
2013-11-14 03:46:33;3;3;2
2013-11-14 03:46:41;3;3;2
2013-11-14 03:49:51;3;3;3
2013-11-14 03:50:14;3;3;6
2013-11-14 03:51:26;3;3;2
2013-11-14 03:51:54;3;3;2
2013-11-14 03:53:25;3;3;17
2013-11-14 03:58:24;3;3;9
2013-11-14 03:59:27;3;3;6
2013-11-14 04:04:15;4;3;7
2013-11-14 04:09:09;4;3;3
2013-11-14 04:09:47;4;3;2
2013-11-14 04:14:36;4;3;1
2013-11-14 04:14:37;4;3;3
2013-11-14 04:14:56;4;3;3
2013-11-14 04:14:57;4;3;1
2013-11-14 04:15:06;4;3;1
2013-11-14 04:15:15;4;3;1
2013-11-14 06:01:01;6;3;1
2013-11-14 06:05:57;6;3;7
2013-11-14 11:47:08;11;3;4
2013-11-14 11:50:47;11;3;39
2013-11-14 11:50:59;11;3;81
2013-11-14 12:54:37;12;3;9
2013-11-14 13:07:22;13;3;3
2013-11-14 13:13:56;13;3;2
2013-11-14 13:15:12;13;3;23
2013-11-14 13:17:53;13;3;1
2013-11-14 13:24:58;13;3;2
2013-11-14 13:29:12;13;3;12
2013-11-14 13:40:30;13;3;12
2013-11-14 14:00:01;14;3;3
2013-11-14 14:12:56;14;3;3
2013-11-14 14:13:03;14;3;10
2013-11-14 14:22:27;14;3;1
2013-11-14 14:25:54;14;3;14
2013-11-14 14:28:42;14;3;1
2013-11-14 14:31:13;14;3;2
2013-11-14 14:34:24;14;3;2
2013-11-14 14:37:06;14;3;2
2013-11-14 14:38:30;14;3;3
2013-11-14 14:39:52;14;3;3
2013-11-14 14:46:29;14;3;4
2013-11-14 14:49:38;14;3;10
2013-11-14 14:50:32;14;3;8
2013-11-14 14:53:06;14;3;12
2013-11-14 14:53:36;14;3;3
2013-11-14 14:54:41;14;3;8
2013-11-14 14:55:58;14;3;17
2013-11-14 14:57:59;14;3;8
2013-11-14 14:58:52;14;3;16
2013-11-14 15:14:05;15;3;7
2013-11-14 15:15:52;15;3;4
2013-11-14 15:20:46;15;3;18
2013-11-14 15:37:04;15;3;9
2013-11-14 15:38:07;15;3;4
2013-11-14 15:38:42;15;3;5
2013-11-14 15:38:53;15;3;1
2013-11-14 15:40:01;15;3;3
2013-11-14 15:40:13;15;3;1
2013-11-14 15:40:30;15;3;2
2013-11-14 15:40:40;15;3;1
2013-11-14 15:40:55;15;3;2
2013-11-14 15:48:24;15;3;1
2013-11-14 15:49:13;15;3;2
2013-11-14 15:53:52;15;3;2
2013-11-14 15:56:06;15;3;1
2013-11-14 16:00:54;16;3;8
2013-11-14 16:24:18;16;3;6
2013-11-14 16:27:20;16;3;5
2013-11-14 16:44:49;16;3;1
2013-11-14 16:51:35;16;3;13
2013-11-14 17:18:37;17;3;4
2013-11-14 17:37:05;17;3;4
2013-11-14 17:37:21;17;3;5
2013-11-14 18:14:37;18;3;2
2013-11-14 18:15:18;18;3;2
2013-11-14 18:15:55;18;3;1
2013-11-14 18:16:09;18;3;3
2013-11-14 18:34:52;18;3;63
2013-11-14 18:36:18;18;3;2
2013-11-14 18:38:23;18;3;2
2013-11-14 18:41:09;18;3;2
2013-11-14 18:41:49;18;3;2
2013-11-14 18:42:11;18;3;2
2013-11-14 18:42:31;18;3;2
2013-11-14 18:42:44;18;3;2
2013-11-14 18:43:12;18;3;2
2013-11-14 18:44:51;18;3;2
2013-11-14 18:45:04;18;3;2
2013-11-14 18:45:16;18;3;2
2013-11-14 18:45:28;18;3;2
2013-11-14 18:46:45;18;3;2
2013-11-14 18:46:58;18;3;2
2013-11-14 18:47:12;18;3;2
2013-11-14 18:47:24;18;3;2
2013-11-14 18:47:45;18;3;2
2013-11-14 18:47:57;18;3;12
2013-11-14 18:48:04;18;3;2
2013-11-14 18:48:18;18;3;2
2013-11-14 18:49:41;18;3;2
2013-11-14 20:32:46;20;3;10
2013-11-14 20:41:10;20;3;1
2013-11-14 20:41:30;20;3;1
2013-11-14 20:41:42;20;3;1
2013-11-14 20:41:51;20;3;1
2013-11-14 21:12:10;21;3;1
2013-11-14 21:18:14;21;3;73
2013-11-14 21:42:07;21;3;1
2013-11-14 21:43:11;21;3;1
2013-11-14 21:58:43;21;3;34
2013-11-14 22:03:27;22;3;52
2013-11-14 22:05:44;22;3;2
2013-11-14 22:06:37;22;3;1
2013-11-14 22:11:36;22;3;7
2013-11-14 22:28:20;22;3;26
2013-11-14 22:30:12;22;3;1
2013-11-14 22:33:15;22;3;2
2013-11-14 22:35:01;22;3;10
2013-11-14 22:35:13;22;3;11
2013-11-14 22:35:23;22;3;164
2013-11-14 22:35:37;22;3;5
2013-11-14 22:50:56;22;3;1
2013-11-14 22:51:39;22;3;35
2013-11-14 23:08:29;23;3;1
2013-11-14 23:09:20;23;3;1
2013-11-14 23:11:28;23;3;1
2013-11-14 23:16:04;23;3;1
2013-11-14 23:24:46;23;3;1
2013-11-14 23:27:23;23;3;30
2013-11-14 23:42:42;23;3;7
2013-11-14 23:55:19;23;3;14
2013-11-15 00:13:39;0;4;1
2013-11-15 00:16:25;0;4;8
2013-11-15 00:46:59;0;4;1
2013-11-15 00:47:13;0;4;1
2013-11-15 00:51:01;0;4;1
2013-11-15 00:51:09;0;4;1
2013-11-15 00:51:17;0;4;1
2013-11-15 01:21:26;1;4;1
2013-11-15 01:23:55;1;4;1
2013-11-15 02:00:58;2;4;1
2013-11-15 02:01:28;2;4;1
2013-11-15 02:28:08;2;4;16
2013-11-15 04:32:34;4;4;2
2013-11-15 04:40:36;4;4;1
2013-11-15 05:51:33;5;4;1
2013-11-15 06:05:17;6;4;22
2013-11-15 12:57:02;12;4;7
2013-11-15 13:07:21;13;4;8
2013-11-15 13:36:16;13;4;18
2013-11-15 13:51:45;13;4;1
2013-11-15 14:00:50;14;4;6
2013-11-15 14:01:38;14;4;5
2013-11-15 14:03:41;14;4;11
2013-11-15 14:04:07;14;4;12
2013-11-15 14:06:40;14;4;6
2013-11-15 14:31:01;14;4;5
2013-11-15 14:31:27;14;4;9
2013-11-15 14:52:29;14;4;29
2013-11-15 15:02:29;15;4;3
2013-11-15 15:03:00;15;4;1
2013-11-15 15:44:35;15;4;2
2013-11-15 15:51:47;15;4;4
2013-11-15 16:04:37;16;4;2
2013-11-15 16:33:06;16;4;2
2013-11-15 16:40:37;16;4;29
2013-11-15 19:02:33;19;4;4
2013-11-15 19:08:32;19;4;8
2013-11-15 21:01:13;21;4;22
2013-11-15 21:04:42;21;4;4
2013-11-15 22:40:05;22;4;6
2013-11-15 22:54:47;22;4;1
2013-11-15 23:04:31;23;4;1
2013-11-15 23:07:29;23;4;13
2013-11-15 23:10:34;23;4;7
2013-11-16 00:49:16;0;5;1
2013-11-16 00:49:29;0;5;1
2013-11-16 00:49:41;0;5;1
2013-11-16 01:27:23;1;5;12
2013-11-16 01:38:19;1;5;8
2013-11-16 02:34:06;2;5;17
2013-11-16 02:43:59;2;5;1
2013-11-16 11:15:12;11;5;5
2013-11-16 15:24:16;15;5;12
2013-11-16 16:38:54;16;5;28
2013-11-16 16:44:02;16;5;36
2013-11-16 17:07:07;17;5;12
2013-11-16 18:28:05;18;5;3
2013-11-17 01:24:46;1;6;5
2013-11-17 01:30:34;1;6;13
2013-11-17 01:35:00;1;6;5
2013-11-17 01:44:37;1;6;8
2013-11-17 15:35:52;15;6;14
2013-11-17 15:39:42;15;6;16
2013-11-17 16:21:06;16;6;12
2013-11-17 16:32:24;16;6;1
2013-11-17 16:46:14;16;6;22
2013-11-17 17:12:31;17;6;2
2013-11-17 17:13:09;17;6;2
2013-11-17 17:13:42;17;6;2
2013-11-17 17:24:43;17;6;1
2013-11-17 17:25:33;17;6;1
2013-11-17 17:25:41;17;6;1
2013-11-17 17:26:08;17;6;1
2013-11-17 17:26:22;17;6;1
2013-11-17 17:26:34;17;6;1
2013-11-17 17:49:26;17;6;15
2013-11-17 18:47:27;18;6;1
2013-11-17 18:47:47;18;6;27
2013-11-17 21:43:15;21;6;15
2013-11-17 21:57:58;21;6;5
2013-11-17 22:19:47;22;6;17
2013-11-17 22:22:43;22;6;9
2013-11-17 22:29:52;22;6;2
2013-11-17 22:37:39;22;6;6
2013-11-17 23:05:09;23;6;66
2013-11-17 23:22:22;23;6;13
2013-11-17 23:23:14;23;6;15
2013-11-17 23:25:38;23;6;21
2013-11-17 23:37:20;23;6;1
2013-11-17 23:47:42;23;6;3
2013-11-18 00:10:28;0;0;1
2013-11-18 00:11:24;0;0;1
2013-11-18 00:13:22;0;0;2
2013-11-18 00:16:18;0;0;30
2013-11-18 00:18:24;0;0;28
2013-11-18 00:33:26;0;0;22
2013-11-18 01:03:51;1;0;6
2013-11-18 02:11:55;2;0;4
2013-11-18 02:14:38;2;0;5
2013-11-18 02:15:58;2;0;6
2013-11-18 02:16:23;2;0;3
2013-11-18 02:16:37;2;0;4
2013-11-18 02:16:54;2;0;5
2013-11-18 02:26:13;2;0;3
2013-11-18 02:34:50;2;0;5
2013-11-18 03:13:56;3;0;20
2013-11-18 03:22:53;3;0;1
2013-11-18 03:34:33;3;0;24
2013-11-18 03:35:48;3;0;5
2013-11-18 03:39:35;3;0;6
2013-11-18 03:45:27;3;0;3
2013-11-18 03:48:44;3;0;3
2013-11-18 03:52:34;3;0;4
2013-11-18 03:57:26;3;0;14
2013-11-18 04:33:27;4;0;3
2013-11-18 04:36:53;4;0;5
2013-11-18 04:56:30;4;0;10
2013-11-18 04:59:01;4;0;3
2013-11-18 05:33:28;5;0;8
2013-11-18 12:04:25;12;0;14
2013-11-18 12:46:15;12;0;232
2013-11-18 13:55:02;13;0;2
2013-11-18 15:00:11;15;0;73
2013-11-18 15:32:35;15;0;54
2013-11-18 15:38:13;15;0;4
2013-11-18 16:06:15;16;0;15
2013-11-18 17:04:05;17;0;32
2013-11-18 17:05:23;17;0;4
2013-11-18 19:54:08;19;0;42
