duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
147;7746394;8;2;9;2;9;1995;61;406;5;2151.8;90;1;9;0.46
175;255366;17;2;4;4;4;2001;152;411;5;70.9;3;2;4;0.22
91;68397;34;4;4;4;4;2001;113;411;5;19;1;1;4;0.47
47;32392;96;2;14;5;14;2013;118;340;6;9;0;0;14;0.36
131;20179;105;5;22;8;25;2013;111;333;6;5.6;0;2;25;0.67
157;80;33;4;22;8;29;2022;109;164;6;0;0;1;29;0.7
90;102456;16;3;18;6;18;2022;146;156;6;28.5;1;0;18;0.8
208;14370;52;5;6;6;6;2023;153;96;6;4;0;2;6;0.36
119;1800062;6;2;2;2;2;2024;130;81;6;500;21;1;2;0.6
44;11432;9;4;10;4;10;2025;100;77;6;3.2;0;2;86;0.86
325;4070;11;5;5;5;5;2025;99;75;6;1.1;0;1;5;0.55
105;32681;3;3;3;3;3;2026;104;58;6;9.1;0;1;3;0.29
149;-1;1;2;2;2;2;2026;113;58;6;0;0;1;2;0.25
89;79546;64;3;19;7;20;2029;98;56;6;22.1;1;3;20;0.25
42;343140;79;5;29;10;40;2030;96;56;6;95.3;4;0;40;0.33
79;9418;86;3;3;3;3;2030;104;53;6;2.6;0;1;3;0.69
234;6041;20;3;9;3;12;2032;85;51;6;1.7;0;0;12;0.24
189;5146;15;2;2;2;2;2032;106;51;6;1.4;0;1;2;0.59
65;24980906;6;3;4;4;4;2032;128;50;6;6939.1;289;1;4;0.27
117;35217;47;6;16;6;17;2033;135;51;6;9.8;0;1;17;0.54
273;90570;50;4;4;4;4;2036;144;50;6;25.2;1;2;4;0.27
157;75;83;8;38;19;45;2036;112;48;6;0;0;1;45;0.64
154;42662;29;7;18;12;18;2039;102;45;6;11.9;0;1;18;0.22
94;23137;62;3;12;5;12;2040;90;45;6;6.4;0;1;12;0.8
133;6251;84;3;3;3;3;2046;103;33;5;1.7;0;0;3;0.48
84;18129;7;2;8;5;8;2047;99;33;5;5;0;1;8;0.58
111;-1;15;3;5;5;5;2047;108;33;5;0;0;2;5;0.22
143;-1;35;3;12;6;12;2047;95;33;5;0;0;2;12;0.31
64;101862;7;3;3;3;3;2047;82;32;5;28.3;1;2;3;0.27
181;281121;10;2;8;4;8;2050;138;31;8;78.1;3;3;8;0.41
395;2593832;26;7;9;9;9;2050;141;28;8;720.5;30;3;9;0.66
72;31477;20;3;8;7;9;2052;133;30;8;8.7;0;2;9;0.28
157;135;30;4;21;14;28;2052;148;29;8;0;0;4;28;0.71
242;285654;12;3;8;7;8;2052;148;29;8;79.3;3;4;8;0.55
108;-1;3;3;5;5;5;2052;158;29;8;0;0;3;5;0.39
91;118351;4;2;4;4;4;2052;135;29;8;32.9;1;0;4;0.35
31;5287641;17;2;15;8;16;2057;151;32;8;1468.8;61;1;16;0.35
196;94066;60;2;5;5;5;2057;190;32;8;26.1;1;3;5;0.66
209;17737;290;9;11;11;11;2058;156;32;8;4.9;0;3;11;0.79
170;374907;7;2;4;4;4;2060;150;34;8;104.1;4;1;4;0.76
29;57231;9;2;4;4;4;2065;135;35;8;15.9;1;1;4;0.44
233;35626;18;3;9;8;9;2065;151;35;8;9.9;0;2;9;0.34
315;69622;68;4;7;7;7;2065;142;35;8;19.3;1;1;7;0.45
182;390303;10;3;7;7;7;2065;166;35;8;108.4;5;3;7;0.62
180;39435;7;3;8;7;8;2065;143;33;8;11;0;0;8;0.38
61;64477;22;6;9;9;9;2065;129;31;8;17.9;1;0;9;0.53
62;518384;98;8;26;19;31;2068;130;29;8;144;6;3;31;0.33
161;171511;209;10;21;21;21;2070;129;30;8;47.6;2;3;21;0.76
111;3219;10;5;8;7;8;2071;130;30;8;0.9;0;1;8;0.53
193;100166;7;3;9;5;9;2071;144;29;8;27.8;1;2;9;0.37
355;4560;14;5;7;7;7;2071;154;29;8;1.3;0;1;7;0.47
31;272823;272;7;27;13;37;2076;150;30;7;75.8;3;2;37;0.45
98;25067;57;8;23;17;26;2077;125;30;7;7;0;1;26;0.63
109;205651;13;2;6;6;6;2078;135;31;7;57.1;2;2;6;0.34
319;157201778;1031;3;5;5;5;2078;124;30;7;43667.2;1819;2;5;0.57
126;67993;63;4;8;6;8;2078;154;30;7;18.9;1;3;8;0.26
242;8529;9;4;6;6;6;2079;133;30;7;2.4;0;3;6;0.35
235;4396;84;4;7;7;7;2085;149;35;7;1.2;0;3;7;0.45
44;-1;12;3;3;3;3;2089;143;39;7;0;0;3;104;0.72
89;-1;21;4;8;8;8;2089;159;39;7;0;0;1;8;0.78
111;142035;29;8;20;15;20;2093;149;43;7;39.5;2;1;20;0.44
155;99776;68;5;11;8;11;2093;139;43;7;27.7;1;0;11;0.29
46;47169;12;4;5;5;5;2093;145;43;7;13.1;1;2;5;0.64
